Approx InterVA5.py line number,New Column Name,New Column Documentation,Source Lookup,Source Column Documentation,Relationship,Condition,Prerequisite,Meta: Notes
337,i132o,,Id10132,(Id10132) Was there any diagnosis by a health professional of high blood pressure?,eq,yes,,
342,i133o,,Id10133,(Id10133) Was there any diagnosis by a health professional of heart disease?,eq,yes,,
347,i134o,,Id10134,(Id10134) Was there any diagnosis by a health professional of diabetes?,eq,yes,,
352,i135o,,Id10135,(Id10135) Was there any diagnosis by a health professional of asthma?,eq,yes,,
357,i136o,,Id10136,(Id10136) Was there any diagnosis by a health professional of epilepsy?,eq,yes,,
362,i137o,,Id10137,(Id10137) Was there any diagnosis by a health professional of cancer?,eq,yes,,
367,i138o,,Id10138,(Id10138) Was there any diagnosis by a health professional of Chronic Obstructive Pulmonary Disease (COPD)?,eq,yes,,
372,i139o,,Id10139,(Id10139) Was there any diagnosis by a health professional of dementia?,eq,yes,,
377,i140o,,Id10140,(Id10140) Was there any diagnosis by a health professional of depression?,eq,yes,,
382,i141o,,Id10141,(Id10141) Was there any diagnosis by a health professional of stroke?,eq,yes,,
387,i142o,,Id10142,(Id10142) Was there any diagnosis by a health professional of sickle cell disease?,eq,yes,,
392,i143o,,Id10143,(Id10143) Was there any diagnosis by a health professional of kidney disease?,eq,yes,,
397,i144o,,Id10144,(Id10144) Was there any diagnosis by a health professional of liver disease?,eq,yes,,
402,i147o,,Id10147,(Id10147) Did (s)he have a fever?,eq,yes,,
407,i148a,,Id10148,"(Id10148) How many days did the fever last? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10148_a},if(${Id10148_units}='days', ${Id10148_b},int(${Id10148_c} * 30)))",lt,7,,
411,i148b,,Id10148,"(Id10148) How many days did the fever last? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10148_a},if(${Id10148_units}='days', ${Id10148_b},int(${Id10148_c} * 30)))",ge,7,,
415,i148c,,Id10148,"(Id10148) How many days did the fever last? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10148_a},if(${Id10148_units}='days', ${Id10148_b},int(${Id10148_c} * 30)))",ge,14,,
420,i149o,,Id10149,(Id10149) Did the fever continue until death?,eq,yes,,
425,i150a,,Id10150,(Id10150) How severe was the fever?,eq,severe,,
431,i151a,,Id10151,(Id10151) What was the pattern of the fever?,eq,continuous,,
437,i152o,,Id10152,(Id10152) Did (s)he have night sweats?,eq,yes,,
442,i153o,,Id10153,(Id10153) Did (s)he have a cough?,eq,yes,,
447,i154a,,Id10154,"(Id10154) For how many days did (s)he have a cough? Calculated as: if(${Id10154_units}='days', ${Id10154_a},int(${Id10154_b} * 30))",lt,21,,
451,i154b,,Id10154,"(Id10154) For how many days did (s)he have a cough? Calculated as: if(${Id10154_units}='days', ${Id10154_a},int(${Id10154_b} * 30))",ge,21,,
456,i155o,,Id10155,"(Id10155) Was the cough productive, with sputum?",eq,yes,,
461,i156o,,Id10156,(Id10156) Was the cough very severe?,eq,yes,,
466,i157o,,Id10157,(Id10157) Did (s)he cough up blood?,eq,yes,,
471,i158o,,Id10158,(Id10158) Did (s)he make a whooping sound when coughing?,eq,yes,,
476,i159o,,Id10159,(Id10159) Did (s)he have any difficulty breathing?,eq,yes,,
484,i161a,,Id10161,"(Id10161) Calculated number of Days with illness Calculated as: if(selected(${isNeonatal}, '1'),${Id10161_0}, if(${id10161_unit}='days', ${Id10161_1},if(${id10161_unit}='months', ${Id10162} * 30, ${Id10163} * 365)))",ge,3,,
487,i161a,,Id10162,(Id10162) [Enter how long the difficult breathing lasted in months]:,ge,1,,
488,i161a,,Id10163,(Id10163) [Enter how long the difficult breathing lasted in years]:,ge,1,,
493,i165a,,Id10165,(Id10165) Was the difficulty continuous or on and off?,eq,yes,,
498,i166o,,Id10166,"(Id10166) During the illness that led to death, did (s)he have fast breathing?",eq,yes,,
503,i167a,,Id10167,"(Id10167) How long did the fast breathing last? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10167_a},if(${Id10167_units}='days', ${Id10167_b},${Id10167_c} * 30))",lt,14,,
507,i167b,,Id10167,"(Id10167) How long did the fast breathing last? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10167_a},if(${Id10167_units}='days', ${Id10167_b},${Id10167_c} * 30))",ge,14,,
512,i168o,,Id10168,(Id10168) Did (s)he have breathlessness?,eq,yes,,
517,i169a,,Id10169,"(Id10169) How long did (s)he have breathlessness? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10169_a},if(${Id10169_units}='days', ${Id10169_b},${Id10169_c} * 30))",lt,14,,
521,i169b,,Id10169,"(Id10169) How long did (s)he have breathlessness? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10169_a},if(${Id10169_units}='days', ${Id10169_b},${Id10169_c} * 30))",ge,14,,
526,i170o,,Id10170,(Id10170) Was (s)he unable to carry out daily routines due to breathlessness?,eq,yes,,
531,i171o,,Id10171,(Id10171) Was (s)he breathless while lying flat?,eq,yes,,
536,i172o,,Id10172,(Id10172) Did you see the lower chest wall/ribs being pulled in as the child breathed in?,eq,yes,,
543,i173a,,Id10173,"(Id10173) During the illness that led to death did his/her breathing sound like any of the following: Calculated as: if(selected(${isAdult}, '1'),${Id10173_a} ,${Id10173_nc})",eq,wheezing,,
542,i173a,,Id10173,"(Id10173) During the illness that led to death did his/her breathing sound like any of the following: Calculated as: if(selected(${isAdult}, '1'),${Id10173_a} ,${Id10173_nc})",eq,stridor,,
541,i173a,,Id10173,"(Id10173) During the illness that led to death did his/her breathing sound like any of the following: Calculated as: if(selected(${isAdult}, '1'),${Id10173_a} ,${Id10173_nc})",eq,grunting,,
548,i174o,,Id10174,(Id10174) Did (s)he have chest pain?,eq,yes,,
553,i175o,,Id10175,(Id10175) Was the chest pain severe?,eq,yes,,
558,i176a,,Id10176,(Id10176) How many days before death did (s)he have chest pain?,ge,3,,
564,i178a,,Id10178,(Id10178) [Enter how long the chest pain lasted in minutes]:,ge,30,,
572,i181o,,Id10181,(Id10181) Did (s)he have more frequent loose or liquid stools than usual?,eq,yes,,
577,i182a,,Id10182,"(Id10182) For how many days did (s)he have frequent loose or liquid stools? Calculated as: if(${Id10182_units}='days', ${Id10182_a},${Id10182_b} * 30)",lt,14,,
581,i182b,,Id10182,"(Id10182) For how many days did (s)he have frequent loose or liquid stools? Calculated as: if(${Id10182_units}='days', ${Id10182_a},${Id10182_b} * 30)",ge,14,,
586,i182c,,Id10182,"(Id10182) For how many days did (s)he have frequent loose or liquid stools? Calculated as: if(${Id10182_units}='days', ${Id10182_a},${Id10182_b} * 30)",ge,28,,
591,i183o,,Id10183,(Id10183) How many stools did the baby or child have on the day that loose liquid stools were most frequent?,ge,4,,
596,i184a,,Id10184,"Column doesn't exist - but there's Id10184_a, Id10184_b and Id10184_c",ge,3,,
601,i185o,,Id10185,(Id10185) Did the frequent loose or liquid stools continue until death?,eq,yes,,
606,i186o,,Id10186,(Id10186) At any time during the final illness was there blood in the stools?,eq,yes,,
611,i187o,,Id10187,(Id10187) Was there blood in the stool up until death?,eq,yes,,
616,i188o,,Id10188,(Id10188) Did (s)he vomit?,eq,yes,,
621,i189o,,Id10189,(Id10189) To clarify: Did (s)he vomit in the week preceding the death?,eq,yes,,
626,i190o,,Id10190,Column doesn't exist - but there's Id10190_a and Id10190_b,eq,yes,,
631,i191o,,Id10191,(Id10191) Was there blood in the vomit?,eq,yes,,
636,i192o,,Id10192,(Id10192) Was the vomit black?,eq,yes,,
641,i193o,,Id10193,(Id10193) Did (s)he have any belly (abdominal) problem?,eq,yes,,
646,i194o,,Id10194,(Id10194) Did (s)he have belly (abdominal) pain?,eq,yes,,
651,i195o,,Id10195,(Id10195) Was the belly (abdominal) pain severe?,eq,yes,,
669,i197a,,Id10194,(Id10194) Did (s)he have belly (abdominal) pain?,eq,yes,,
682,i197b,,Id10194,(Id10194) Did (s)he have belly (abdominal) pain?,eq,yes,,
688,i199a,,Id10199,(Id10199) Was the pain in the upper or lower belly (abdomen)?,eq,upper_lower_abdomen,,
687,i199a,,Id10199,(Id10199) Was the pain in the upper or lower belly (abdomen)?,eq,upper_abdomen,,
695,i199b,,Id10199,(Id10199) Was the pain in the upper or lower belly (abdomen)?,eq,lower_abdomen,,
694,i199b,,Id10199,(Id10199) Was the pain in the upper or lower belly (abdomen)?,eq,upper_lower_abdomen,,
699,i200o,,Id10200,(Id10200) Did (s)he have a more than usually protruding belly (abdomen)?,eq,yes,,
709,i201a,,Id10200,(Id10200) Did (s)he have a more than usually protruding belly (abdomen)?,eq,yes,,
718,i201b,,Id10200,(Id10200) Did (s)he have a more than usually protruding belly (abdomen)?,eq,yes,,
725,i203a,,Id10203,(Id10203) How rapidly did (s)he develop the protruding belly (abdomen)?,eq,rapidly,,
730,i204o,,Id10204,(Id10204) Did (s)he have any mass in the belly (abdomen)?,eq,yes,,
739,i205a,,Id10204,(Id10204) Did (s)he have any mass in the belly (abdomen)?,eq,yes,,
750,i205b,,Id10204,(Id10204) Did (s)he have any mass in the belly (abdomen)?,eq,yes,,
755,i207o,,Id10207,(Id10207) Did (s)he have a severe headache?,eq,yes,,
760,i208o,,Id10208,(Id10208) Did (s)he have a stiff neck during illness that led to death?,eq,yes,,
767,i209a,,Id10208,(Id10208) Did (s)he have a stiff neck during illness that led to death?,eq,yes,,
772,i209b,,Id10208,(Id10208) Did (s)he have a stiff neck during illness that led to death?,eq,yes,,
778,i210o,,Id10210,(Id10210) Did (s)he have a painful neck during the illness that led to death?,eq,yes,,
785,i211a,,Id10210,(Id10210) Did (s)he have a painful neck during the illness that led to death?,eq,yes,,
791,i212o,,Id10212,(Id10212) Did (s)he have mental confusion?,eq,yes,,
796,i213o,,Id10213,"(Id10213) For how many months did (s)he have mental confusion? Calculated as: if(${Id10213_units}='days', ${Id10213_a} div 30,${Id10213_b})",eq,yes,,
801,i214o,,Id10214,(Id10214) Was (s)he unconscious during the illness that led to death?,eq,yes,,
806,i215o,,Id10215,(Id10215) Was (s)he unconscious for more than 24 hours before death?,eq,yes,,
811,i216a,,Id10216,"(Id10216) How many hours before death did unconsciousness start? Calculated as: if(${Id10216_units}='days', ${Id10216_b} * 24,${Id10216_a})",ge,6,,
816,i217o,,Id10217,"(Id10217) Did the unconsciousness start suddenly, quickly (at least within a single day)?",eq,yes,,
821,i218o,,Id10218,(Id10218) Did the unconsciousness continue until death?,eq,yes,,
826,i219o,,Id10219,(Id10219) Did (s)he have convulsions?,eq,yes,,
831,i220o,,Id10220,(Id10220) Did (s)he experience any generalized convulsions or fits during the illness that led to death?,eq,yes,,
836,i221a,,Id10221,(Id10221) For how many minutes did the convulsions last?,lt,10,,
842,i221b,,Id10221,(Id10221) For how many minutes did the convulsions last?,ge,10,,
846,i222o,,Id10222,(Id10222) Did (s)he become unconscious immediately after the convulsion?,eq,yes,,
851,i223o,,Id10223,(Id10223) Did (s)he have any urine problems?,eq,yes,,
856,i224o,,Id10224,(Id10224) Did (s)he stop urinating?,eq,yes,,
861,i225o,,Id10225,(Id10225) Did (s)he go to urinate more often than usual?,eq,yes,,
866,i226o,,Id10226,(Id10226) During the final illness did (s)he ever pass blood in the urine?,eq,yes,,
871,i227o,,Id10227,(Id10227) Did (s)he have sores or ulcers anywhere on the body?,eq,yes,,
876,i228o,,Id10228,(Id10228) Did (s)he have sores?,eq,yes,,
881,i229o,,Id10229,(Id10229) Did the sores have clear fluid or pus?,eq,yes,,
886,i230o,,Id10230,(Id10230) Did (s)he have an ulcer (pit) on the foot?,eq,yes,,
891,i231o,,Id10231,(Id10231) Did the ulcer on the foot ooze pus?,eq,yes,,
896,i232a,,Id10232,"(Id10232) For how many days did the ulcer on the foot ooze pus? Calculated as: if(${Id10232_units}='days', ${Id10232_a} div 30,${Id10232_b})",ge,14,,
901,i233o,,Id10233,"(Id10233) During the illness that led to death, did (s)he have any skin rash?",eq,yes,,
906,i234a,,Id10234,(Id10234) For how many days did (s)he have the skin rash?,lt,7,,
911,i234b,,Id10234,(Id10234) For how many days did (s)he have the skin rash?,ge,7,,
916,i235a,,Id10235,(Id10235) Where was the rash?,eq,face,,
922,i235b,,Id10235,(Id10235) Where was the rash?,eq,abdomen,,
928,i235c,,Id10235,(Id10235) Where was the rash?,eq,extremities,,
934,i235d,,Id10235,(Id10235) Where was the rash?,eq,everywhere,,
940,i236o,,Id10236,(Id10236) Did (s)he have measles rash (use local term)?,eq,yes,,
945,i237o,,Id10237,(Id10237) Did (s)he ever have shingles or herpes zoster?,eq,yes,,
950,i238o,,Id10238,"(Id10238) During the illness that led to death, did her/his skin flake off in patches?",eq,yes,,
955,i239o,,Id10239,"(Id10239) During the illness that led to death, did he/she have areas of the skin that turned black?",eq,yes,,
960,i240o,,Id10240,"(Id10240) During the illness that led to death, did he/she have areas of the skin with redness and swelling?",eq,yes,,
965,i241o,,Id10241,"(Id10241) During the illness that led to death, did (s)he bleed from anywhere?",eq,yes,,
970,i242o,,Id10242,"(Id10242) Did (s)he bleed from the nose, mouth or anus?",eq,yes,,
975,i243o,,Id10243,(Id10243) Did (s)he have noticeable weight loss?,eq,yes,,
980,i244o,,Id10244,(Id10244) Was (s)he severely thin or wasted?,eq,yes,,
985,i245o,,Id10245,"(Id10245) During the illness that led to death, did s/he have a whitish rash inside the mouth or on the tongue?",eq,yes,,
990,i246o,,Id10246,(Id10246) Did (s)he have stiffness of the whole body or was unable to open the mouth?,eq,yes,,
995,i247o,,Id10247,(Id10247) Did (s)he have puffiness of the face?,eq,yes,,
1000,i248a,,Id10248,"(Id10248) For how many days did (s)he have puffiness of the face? Calculated as: if(${Id10248_units}='days', ${Id10248_a} div 30,${Id10248_b})",ge,7,,
1005,i249o,,Id10249,"(Id10249) During the illness that led to death, did (s)he have swollen legs or feet?",eq,yes,,
1010,i250a,,Id10250,"(Id10250) How many days did the swelling last? Calculated as: if(${Id10250_units}='days', ${Id10250_a} div 30,${Id10250_b})",ge,3,,
1015,i251o,,Id10251,(Id10251) Did (s)he have both feet swollen?,eq,yes,,
1020,i252o,,Id10252,(Id10252) Did (s)he have general puffiness all over his/her body?,eq,yes,,
1025,i253o,,Id10253,(Id10253) Did (s)he have any lumps?,eq,yes,,
1030,i254o,,Id10254,(Id10254) Did (s)he have any lumps or lesions in the mouth?,eq,yes,,
1035,i255o,,Id10255,(Id10255) Did (s)he have any lumps on the neck?,eq,yes,,
1040,i256o,,Id10256,(Id10256) Did (s)he have any lumps on the armpit?,eq,yes,,
1045,i257o,,Id10257,(Id10257) Did (s)he have any lumps on the groin?,eq,yes,,
1050,i258o,,Id10258,(Id10258) Was (s)he in any way paralysed?,eq,yes,,
1055,i259o,,Id10259,(Id10259) Did (s)he have paralysis of only one side of the body?,eq,yes,,
1060,i260a,,Id10260,(Id10260) Which were the limbs or body parts paralysed?,eq,right_side,,
1066,i260b,,Id10260,(Id10260) Which were the limbs or body parts paralysed?,eq,left_side,,
1072,i260c,,Id10260,(Id10260) Which were the limbs or body parts paralysed?,eq,lower_part_of_body,,
1078,i260d,,Id10260,(Id10260) Which were the limbs or body parts paralysed?,eq,upper_part_of_body,,
1084,i260e,,Id10260,(Id10260) Which were the limbs or body parts paralysed?,eq,one_leg_only,,
1090,i260f,,Id10260,(Id10260) Which were the limbs or body parts paralysed?,eq,one_arm_only,,
1096,i260g,,Id10260,(Id10260) Which were the limbs or body parts paralysed?,eq,whole_body,,
1102,i261o,,Id10261,(Id10261) Did (s)he have difficulty swallowing?,eq,yes,,
1107,i262a,,Id10262,"(Id10262) For how many days before death did (s)he have difficulty swallowing? Calculated as: if(${Id10262_units}='days', ${Id10262_a} div 30,${Id10262_b})",ge,7,,
1113,i263a,,Id10263,"(Id10263) Was the difficulty with swallowing with solids, liquids, or both?",eq,both,,
1112,i263a,,Id10263,"(Id10263) Was the difficulty with swallowing with solids, liquids, or both?",eq,solids,,
1120,i263b,,Id10263,"(Id10263) Was the difficulty with swallowing with solids, liquids, or both?",eq,liquids,,
1119,i263b,,Id10263,"(Id10263) Was the difficulty with swallowing with solids, liquids, or both?",eq,both,,
1124,i264o,,Id10264,(Id10264) Did (s)he have pain upon swallowing?,eq,yes,,
1129,i265o,,Id10265,(Id10265) Did (s)he have yellow discoloration of the eyes?,eq,yes,,
1134,i266a,,Id10266,"(Id10266) For how many days did (s)he have the yellow discoloration? Calculated as: if(${Id10266_units}='days', ${Id10266_a} div 30,${Id10266_b})",ge,21,,
1139,i267o,,Id10267,(Id10267) Did her/his hair change in color to a reddish or yellowish color?,eq,yes,,
1144,i268o,,Id10268,"(Id10268) Did (s)he look pale (thinning/lack of blood) or have pale palms, eyes or nail beds?",eq,yes,,
1149,i269o,,Id10269,(Id10269) Did (s)he have sunken eyes?,eq,yes,,
1154,i270o,,Id10270,(Id10270) Did (s)he drink a lot more water than usual?,eq,yes,,
1159,i271o,,Id10271,(Id10271) Was the baby able to suckle or bottle-feed within the first 24 hours after birth?,eq,yes,,
1164,i272o,,Id10272,(Id10272) Did the baby ever suckle in a normal way?,eq,yes,,
1169,i273o,,Id10273,(Id10273) Did the baby stop suckling?,eq,yes,,
1174,i274a,,Id10274,"(Id10274) How many days after birth did the baby stop suckling? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10274_a},if(${Id10274_units}='days', ${Id10274_b},${Id10274_c} * 30))",ge,2,,
1179,i275o,,Id10275,(Id10275) Did the baby have convulsions starting within the first 24 hours of life?,eq,yes,,
1184,i276o,,Id10276,(Id10276) Did the baby have convulsions starting more than 24 hours after birth?,eq,yes,,
1189,i277o,,Id10277,"(Id10277) Did the baby's body become stiff, with the back arched backwards?",eq,yes,,
1194,i278o,,Id10278,"(Id10278) During the illness that led to death, did the baby have a bulging or raised fontanelle? ",eq,yes,,
1199,i279o,,Id10279,"(Id10279) During the illness that led to death, did the baby have a sunken fontanelle? ",eq,yes,,
1204,i281o,,Id10281,"(Id10281) During the illness that led to death, did the baby become unresponsive or unconscious?",eq,yes,,
1209,i282o,,Id10282,"(Id10282) Did the baby become unresponsive or unconscious soon after birth, within less than 24 hours?",eq,yes,,
1214,i283o,,Id10283,(Id10283) Did the baby become unresponsive or unconscious more than 24 hours after birth?,eq,yes,,
1219,i284o,,Id10284,"(Id10284) During the illness that led to death, did the baby become cold to touch?",eq,yes,,
1224,i285a,,Id10285,(Id10285) How many days old was the baby when it started feeling cold to touch?,gt,3,,
1229,i286o,,Id10286,"(Id10286) During the illness that led to death, did the baby become lethargic after a period of normal activity?",eq,yes,,
1234,i287o,,Id10287,(Id10287) Did the baby have redness or pus drainage from the umbilical cord stump?,eq,yes,,
1239,i288o,,Id10288,"(Id10288) During the illness that led to death, did the baby have skin ulcer(s) or pits?",eq,yes,,
1244,i289o,,Id10289,"(Id10289) During the illness that led to death, did the baby have yellow skin, palms (hand) or soles (foot)?",eq,yes,,
1249,i290o,,Id10290,(Id10290) Did the baby or infant appear to be healthy and then just die suddenly?,eq,yes,,
1254,i294o,,Id10294,(Id10294) Did she have any swelling or lump in the breast?,eq,yes,,
1259,i295o,,Id10295,(Id10295) Did she have any ulcers (pits) in the breast?,eq,yes,,
1264,i296o,,Id10296,(Id10296) Did she ever have a period or menstruate?,eq,yes,,
1269,i297o,,Id10297,"(Id10297) When she had her period, did she have vaginal bleeding in between menstrual periods?",eq,yes,,
1274,i298o,,Id10298,(Id10298) Was the bleeding excessive?,eq,yes,,
1279,i299o,,Id10299,(Id10299) Did her menstrual period stop naturally because of menopause or removal of uterus?,eq,yes,,
1284,i300o,,Id10300,(Id10300) Did she have vaginal bleeding after cessation of menstruation?,eq,yes,,
1289,i301o,,Id10301,(Id10301) Was there excessive vaginal bleeding in the week prior to death?,eq,yes,,
1294,i302o,,Id10302,(Id10302) At the time of death was her period overdue?,eq,yes,,
1299,i303a,,Id10303,(Id10303) For how many weeks had her period been overdue?,ge,4,,
1304,i304o,,Id10304,(Id10304) Did she have a sharp pain in her belly (abdomen) shortly before death?,eq,yes,,
1309,i305o,,Id10305,(Id10305) Was she pregnant at the time of death?,eq,yes,,
1314,i306o,,Id10306,"(Id10306) Did she die within 6 weeks of delivery, abortion or miscarriage?",eq,yes,,
1319,i309o,,Id10309,(Id10309) For how many months was she pregnant?,eq,yes,,
1324,i310o,,Id10310,"(Id10310) Please confirm, when she died, she was NEITHER pregnant NOR had delivered, had an abortion, or miscarried within 12 months of when she died--is that right?",eq,yes,,
1329,i312o,,Id10312,(Id10312) Did she die during labour or delivery?,eq,yes,,
1334,i313o,,Id10313,(Id10313) Did she die after delivering a baby?,eq,yes,,
1339,i314o,,Id10314,(Id10314) Did she die within 24 hours after delivery?,eq,yes,,
1344,i315o,,Id10315,"(Id10315) Did she die within 6 weeks of childbirth? Calculated as: if(${Id10306}='no', ${Id10306}, ${Id10315_a})",eq,yes,,
1349,i316o,,Id10316,(Id10316) Did she give birth to a live baby (within 6 weeks of her death)?,eq,yes,,
1354,i317o,,Id10317,(Id10317) Did she die during or after a multiple pregnancy?,eq,yes,,
1359,i318o,,Id10318,(Id10318) Was she breastfeeding the child in the days before death?,eq,yes,,
1364,i319a,,Id10319,"(Id10319) How many births, including stillbirths, did she/the mother have before this baby?",eq,0,,
1369,i319b,,Id10319,"(Id10319) How many births, including stillbirths, did she/the mother have before this baby?",ge,4,,
1374,i320o,,Id10320,(Id10320) Had she had any previous Caesarean section?,eq,yes,,
